algo,test,k,time,space
kiss,dna,128,1.7099469280000001,558609920
kiss,dna,256,1.8990079620000002,558610208
kiss,dna,512,2.153976381,558610208
kiss,dna,1024,2.4316984400000003,558610208
kiss,dna,2048,2.560510651,558610208
kiss,dna,0,2.678946733,558609920
kiss,protein,2,1.691441352,558611200
kiss,protein,4,1.855207953,558611200
kiss,protein,8,1.8921840900000002,558611200
kiss,protein,16,1.7739953080000002,558611200
kiss,protein,32,1.855013484,558610912
kiss,protein,64,1.814199165,558610912
kiss,protein,128,1.9633716520000002,558610912
kiss,protein,256,2.188743889,558610912
kiss,protein,512,2.4796455330000002,558611200
kiss,protein,1024,2.73616048,558611200
kiss,protein,2048,2.925425219,558611200
kiss,protein,0,2.9951011800000003,558610912
kiss,mouse,2,40.133664796000005,14397600818
kiss,mouse,4,44.205888621,14397600818
kiss,mouse,8,59.16263123900001,14397600818
kiss,mouse,16,63.203983473,14397600818
kiss,mouse,32,64.23048889900001,14397600818
kiss,mouse,64,65.325365043,14397600818
kiss,mouse,128,65.86255599,14397600818
kiss,mouse,256,65.975350246,14397600818
kiss,mouse,512,66.34016974800001,14397600818
kiss,mouse,1024,66.488449188,14397600818
kiss,mouse,2048,66.841249534,14397600818
kiss,mouse,0,67.031498242,14397600818
kiss,zebrafish,2,25.810701667,9775524823
kiss,zebrafish,4,28.193424392,9775524823
kiss,zebrafish,8,36.974608277,9775524823
kiss,zebrafish,16,37.519830049,9775524823
kiss,zebrafish,32,38.606689653000004,9775524823
kiss,zebrafish,64,39.222632188000006,9775524823
kiss,zebrafish,128,39.526102459,9775524823
kiss,zebrafish,256,40.013647348,9775524823
kiss,zebrafish,512,40.362075219000005,9775524823
kiss,zebrafish,1024,41.036692623,9775524823
kiss,zebrafish,2048,41.439786147,9775524823
kiss,zebrafish,0,58.961334419,9775524823
kiss,african_clawed_frog,2,45.747943066000005,14751593695
kiss,african_clawed_frog,4,49.867633909000006,14751593695
kiss,african_clawed_frog,8,62.709747671,14751593695
kiss,african_clawed_frog,16,66.423511038,14751593695
kiss,african_clawed_frog,32,67.475903238,14751593695
kiss,african_clawed_frog,64,67.93147998500001,14751593695
kiss,african_clawed_frog,128,67.845443657,14751593695
kiss,african_clawed_frog,256,68.805920068,14751593695
kiss,african_clawed_frog,512,68.893957537,14751593695
kiss,african_clawed_frog,1024,69.105010221,14751593695
kiss,african_clawed_frog,2048,68.575427657,14751593695
kiss,african_clawed_frog,0,68.502920093,14751593695
kiss,cat,2,37.743618351,14297518004
kiss,cat,4,41.470147147000006,14297517716
kiss,cat,8,55.417712943000005,14297518004
kiss,cat,16,59.653746456,14297518004
kiss,cat,32,60.435455459,14297518004
kiss,cat,64,61.284009788000006,14297518004
kiss,cat,128,61.406115756000005,14297517716
kiss,cat,256,61.228548475000004,14297518004
kiss,cat,512,61.305444078,14297518004
kiss,cat,1024,61.287083457,14297518004
kiss,cat,2048,61.361751652,14297517716
kiss,cat,0,61.350112799,14297518004
kiss,chicken,2,16.149466268,5996714214
kiss,chicken,4,17.737008469000003,5996714214
kiss,chicken,8,23.669838272,5996714214
kiss,chicken,16,24.914473121,5996714214
kiss,chicken,32,24.857067949,5996714502
kiss,chicken,64,24.901379386000002,5996714214
kiss,chicken,128,25.124602409,5996714214
kiss,chicken,256,24.922408874000002,5996714502
kiss,chicken,512,25.044820316000003,5996714214
kiss,chicken,1024,25.101059509000002,5996714438
kiss,chicken,2048,25.021169678000003,5996714214
kiss,chicken,0,25.044400824,5996714214
kiss,dog,2,34.973275035,13465973984
kiss,dog,4,38.396398801000004,13465973984
kiss,dog,8,51.614277523000005,13465973984
kiss,dog,16,55.41814015600001,13465973984
kiss,dog,32,56.570045566000005,13465973984
kiss,dog,64,56.607053129,13465973984
kiss,dog,128,57.204605980000004,13465973984
kiss,dog,256,57.073012247,13465973984
kiss,dog,512,56.861329315000006,13465973984
kiss,dog,1024,57.15982622000001,13465973984
kiss,dog,2048,57.086850293000005,13465973984
kiss,dog,0,56.830646645,13465973984
kiss,marmoset,2,43.104823639,15462128263
kiss,marmoset,4,47.27283881,15462128263
kiss,marmoset,8,63.244825028,15462128263
kiss,marmoset,16,68.00411534700001,15462128263
kiss,marmoset,32,69.77018112600001,15462128263
kiss,marmoset,64,70.35167719600001,15462128263
kiss,marmoset,128,70.713164401,15462128263
kiss,marmoset,256,70.859772382,15462128263
kiss,marmoset,512,70.969638319,15462128263
kiss,marmoset,1024,70.858778627,15462128263
kiss,marmoset,2048,71.409524655,15462128263
kiss,marmoset,0,71.090306647,15462128263
kiss-new,example,2,0.208336607,34612626
kiss-new,example,4,0.207128119,34612626
kiss-new,example,8,0.219726566,34612626
kiss-new,example,16,0.22440008600000003,34612626
kiss-new,example,32,0.228141019,34612626
kiss-new,example,64,0.22887699,34612626
kiss-new,example,128,0.229161307,34612626
kiss-new,example,256,0.21481054200000002,34612626
kiss-new,example,512,0.23118760400000002,34612626
kiss-new,example,1024,0.222531472,34612626
kiss-new,example,2048,0.22603845800000003,34612626
kiss-new,example,0,0.223987352,34612626
kiss-new,hs37d5,2,60.840782434000005,18599099614
kiss-new,hs37d5,4,63.078521667000004,18599099614
kiss-new,hs37d5,8,64.517946484,18599099614
kiss-new,hs37d5,16,65.384678792,18599099614
kiss-new,hs37d5,32,66.200813181,18599099614
kiss-new,hs37d5,64,66.55514997200001,18599099614
kiss-new,hs37d5,128,67.159481203,18599099614
kiss-new,hs37d5,256,67.276214647,18599099614
kiss-new,hs37d5,512,67.962210795,18599099614
kiss-new,hs37d5,1024,68.044738928,18599099614
kiss-new,hs37d5,2048,68.0250216,18599099614
kiss-new,hs37d5,0,67.72634131000001,18599099614
kiss-new,dna,2,1.797553336,621026773
kiss-new,dna,4,1.9432968140000002,621026773
kiss-new,dna,8,2.045303702,621026773
kiss-new,dna,16,2.1468436570000002,621026773
kiss-new,dna,32,2.35515353,621026773
kiss-new,dna,64,2.490319109,621026773
kiss-new,dna,128,2.871769725,621026773
kiss-new,dna,256,2.7764155400000003,621026773
kiss-new,dna,512,2.720075886,621026773
kiss-new,dna,1024,2.774630998,621026773
kiss-new,dna,2048,2.7364721690000002,621026773
kiss-new,dna,0,2.744049239,621026773
kiss-new,protein,2,2.287262556,763859025
kiss-new,protein,4,2.5168194290000003,764382529
kiss-new,protein,8,2.7211461540000004,764643273
kiss-new,protein,16,2.981963678,764382333
kiss-new,protein,32,3.301558055,764643273
kiss-new,protein,64,3.450590092,764118977
kiss-new,protein,128,3.6365247750000003,764118977
kiss-new,protein,256,3.748051031,764381721
kiss-new,protein,512,3.8483309450000003,764382117
kiss-new,protein,1024,3.8717137690000003,764381125
kiss-new,protein,2048,3.8914073260000004,763598685
kiss-new,protein,0,3.9287820430000004,764643273
kiss-new,mouse,2,52.908617363000005,16004162598
kiss-new,mouse,4,54.388774307000006,16004162598
kiss-new,mouse,8,55.722220955000004,16004162598
kiss-new,mouse,16,56.520038364,16004162598
kiss-new,mouse,32,57.576162619,16004162598
kiss-new,mouse,64,57.89375492600001,16004162598
kiss-new,mouse,128,58.541107617,16004162598
kiss-new,mouse,256,58.665668540000006,16004162598
kiss-new,mouse,512,58.774719948000005,16004162598
kiss-new,mouse,1024,58.763815830000006,16004162598
kiss-new,mouse,2048,58.625047072,16004162598
kiss-new,mouse,0,59.03132346700001,16004162598
