algo,test,k,time,space
kiss-new,marmoset,128,61.121220112,16995060880
kiss-new,marmoset,256,60.709939278,16995060880
kiss-new,marmoset,512,60.821351919,16995060880
kiss-new,marmoset,1024,60.75779235500001,16995060880
kiss-new,marmoset,2048,60.973493783,16995060880
kiss-new,marmoset,0,60.870183274000006,16995060880
kiss-new,example,2,0.22959778600000003,34612626
kiss-new,example,4,0.23028229600000003,34612626
kiss-new,example,8,0.22311993700000002,34612626
kiss-new,example,16,0.232949182,34612626
kiss-new,example,32,0.22808850600000002,34612626
kiss-new,example,64,0.23469546500000002,34612626
kiss-new,example,128,0.21541343400000001,34612626
kiss-new,example,256,0.22985908500000002,34612626
kiss-new,example,512,0.21125300200000002,34612626
kiss-new,example,1024,0.231770413,34612626
kiss-new,example,2048,0.218097903,34612626
kiss-new,example,0,0.201508019,34612626
kiss-new,hs37d5,2,61.224660363000005,18599099614
kiss-new,hs37d5,4,62.979443262000004,18599099614
kiss-new,hs37d5,8,64.23959757600001,18599099614
kiss-new,hs37d5,16,65.54092868000001,18599099614
kiss-new,hs37d5,32,66.173053612,18599099614
kiss-new,hs37d5,64,66.557982479,18599099614
kiss-new,hs37d5,128,67.092071483,18599099614
kiss-new,hs37d5,256,67.500706416,18599099614
kiss-new,hs37d5,512,67.516984947,18599099614
kiss-new,hs37d5,1024,67.779587477,18599099614
kiss-new,hs37d5,2048,68.152275222,18599099614
kiss-new,hs37d5,0,67.659020921,18599099614
kiss-new,dna,2,1.7196661860000002,621026773
kiss-new,dna,4,1.858734413,621026773
kiss-new,dna,8,2.0250845550000003,621026773
kiss-new,dna,16,2.168368891,621026773
kiss-new,dna,32,2.33860574,621026773
kiss-new,dna,64,2.4412583370000003,621026773
kiss-new,dna,128,2.6096754470000003,621026773
kiss-new,dna,256,2.722791727,621026773
kiss-new,dna,512,2.6551014590000004,621026773
kiss-new,dna,1024,2.7566544420000003,621026773
kiss-new,dna,2048,2.7803271950000004,621026773
kiss-new,dna,0,2.7382900930000003,621026773
kiss-new,protein,2,2.309368777,764643273
kiss-new,protein,4,2.547209215,764644265
kiss-new,protein,8,2.749556854,764644661
kiss-new,protein,16,2.8873190380000002,764382129
kiss-new,protein,32,3.2156447650000004,764382325
kiss-new,protein,64,3.3519221330000004,764118977
kiss-new,protein,128,3.6012131440000004,764905421
kiss-new,protein,256,3.76259287,764643273
kiss-new,protein,512,3.8321991580000003,764643273
kiss-new,protein,1024,3.8222763650000005,764643273
