algo,test,k,num-threads,time,space
kiss-1,zebrafish_protein_437,256,8,1.2570362050000001,115376128
kiss-1,zebrafish_protein_437,256,16,1.2477565050000001,150634496
kiss-1,zebrafish_protein_437,256,32,1.234484402,221175808
kiss-1,zebrafish_protein_437,256,64,1.320913441,362074112
kiss-1,zebrafish_protein_437,256,128,1.449889105,643837952
kiss-1,human_protein_5640,256,1,1.0016737150000001,65773568
kiss-1,human_protein_5640,256,2,0.9321634110000001,70262784
kiss-1,human_protein_5640,256,4,0.9079020010000001,78938112
kiss-1,human_protein_5640,256,8,0.8938884100000001,96591872
kiss-1,human_protein_5640,256,16,0.8847073620000001,131629056
kiss-1,human_protein_5640,256,32,0.915396556,202280960
kiss-1,human_protein_5640,256,64,0.982630336,343134208
kiss-1,human_protein_5640,256,128,1.1328077970000001,624717824
kiss-1,mouse_protein_589,256,1,1.0233352470000001,67383296
kiss-1,mouse_protein_589,256,2,0.9628098300000001,72073216
kiss-1,mouse_protein_589,256,4,0.926625349,80596992
kiss-1,mouse_protein_589,256,8,0.9087836220000001,98254848
kiss-1,mouse_protein_589,256,16,0.9019417200000001,133345280
kiss-1,mouse_protein_589,256,32,0.9305804150000001,203878400
kiss-1,mouse_protein_589,256,64,0.9984639270000001,344817664
kiss-1,mouse_protein_589,256,128,1.1110143190000001,626552832
kiss-1,zebrafish_protein_437,256,1,1.3738221320000001,84602880
kiss-1,zebrafish_protein_437,256,2,1.2702952550000002,88989696
kiss-1,zebrafish_protein_437,256,4,1.251157485,97996800
kiss-1,zebrafish_protein_437,256,8,1.216174775,115486720
kiss-1,zebrafish_protein_437,256,16,1.2106347210000001,150634496
kiss-1,zebrafish_protein_437,256,32,1.232664371,221270016
kiss-1,zebrafish_protein_437,256,64,1.313424873,362045440
kiss-1,zebrafish_protein_437,256,128,1.453344446,643788800
kiss-2,human_protein_5640,256,1,0.7450769420000001,115294208
kiss-2,human_protein_5640,256,2,0.43258676900000004,119533568
kiss-2,human_protein_5640,256,4,0.26732372000000004,128143360
kiss-2,human_protein_5640,256,8,0.189604453,146063360
kiss-2,human_protein_5640,256,16,0.18864050300000001,181190656
kiss-2,human_protein_5640,256,32,0.16337902,251535360
kiss-2,human_protein_5640,256,64,0.250847396,392417280
kiss-2,human_protein_5640,256,128,0.392509249,674070528
kiss-2,mouse_protein_589,256,1,0.778066204,118304768
kiss-2,mouse_protein_589,256,2,0.446154947,122564608
kiss-2,mouse_protein_589,256,4,0.281015793,131526656
kiss-2,mouse_protein_589,256,8,0.20627408800000002,149172224
kiss-2,mouse_protein_589,256,16,0.166421082,184164352
kiss-2,mouse_protein_589,256,32,0.19227500800000003,254631936
kiss-2,mouse_protein_589,256,64,0.246540466,395546624
